id,date,time,from_city,to_city,travel_time,seat_type,seat_num,cost
1,2021-11-11,11:00,Rivne,Kyiv,5,3,1,300
2,2021-11-11,11:00,Rivne,Kyiv,5,3,2,300
3,2021-11-11,11:00,Rivne,Kyiv,5,3,3,300
4,2021-11-11,11:00,Rivne,Kyiv,5,3,4,300
5,2021-11-11,11:00,Rivne,Kyiv,5,3,5,300
6,2021-11-11,11:00,Rivne,Kyiv,5,3,6,300
7,2021-11-11,11:00,Rivne,Kyiv,5,3,7,300
8,2021-11-11,11:00,Rivne,Kyiv,5,3,8,300
9,2021-11-11,11:00,Rivne,Kyiv,5,3,9,300
10,2021-11-11,11:00,Rivne,Kyiv,5,3,10,300
11,2021-11-11,11:00,Rivne,Kyiv,5,3,11,300
12,2021-11-11,11:00,Rivne,Kyiv,5,3,12,300
13,2021-11-11,11:00,Rivne,Kyiv,5,3,13,300
14,2021-11-11,11:00,Rivne,Kyiv,5,3,14,300
15,2021-11-11,11:00,Rivne,Kyiv,5,3,15,300
16,2021-11-11,11:00,Rivne,Kyiv,5,3,16,300
17,2021-11-11,11:00,Rivne,Kyiv,5,3,17,300
18,2021-11-11,11:00,Rivne,Kyiv,5,3,18,300
19,2021-11-11,11:00,Rivne,Kyiv,5,3,19,300
20,2021-11-11,11:00,Rivne,Kyiv,5,3,20,300
21,2021-11-11,11:00,Rivne,Kyiv,5,3,21,300
22,2021-11-11,11:00,Rivne,Kyiv,5,3,22,300
23,2021-11-11,11:00,Rivne,Kyiv,5,3,23,300
24,2021-11-11,11:00,Rivne,Kyiv,5,3,24,300
25,2021-11-11,11:00,Rivne,Kyiv,5,3,25,300
26,2021-11-11,11:00,Rivne,Kyiv,5,3,26,300
27,2021-11-11,11:00,Rivne,Kyiv,5,3,27,300
28,2021-11-11,11:00,Rivne,Kyiv,5,3,28,300
29,2021-11-11,11:00,Rivne,Kyiv,5,3,29,300
30,2021-11-11,11:00,Rivne,Kyiv,5,3,30,300
31,2021-11-11,11:00,Rivne,Kyiv,5,3,31,300
32,2021-11-11,11:00,Rivne,Kyiv,5,3,32,300
33,2021-11-11,11:00,Rivne,Kyiv,5,3,33,300
34,2021-11-11,11:00,Rivne,Kyiv,5,3,34,300
35,2021-11-11,11:00,Rivne,Kyiv,5,3,35,300
36,2021-11-11,11:00,Rivne,Kyiv,5,3,36,300
37,2021-11-11,11:00,Rivne,Kyiv,5,3,37,300
38,2021-11-11,11:00,Rivne,Kyiv,5,3,38,300
39,2021-11-11,11:00,Rivne,Kyiv,5,3,39,300
40,2021-11-11,11:00,Rivne,Kyiv,5,3,40,300
41,2021-11-11,11:00,Rivne,Kyiv,5,3,41,300
42,2021-11-11,11:00,Rivne,Kyiv,5,3,42,300
43,2021-11-11,11:00,Rivne,Kyiv,5,3,43,300
44,2021-11-11,11:00,Rivne,Kyiv,5,3,44,300
45,2021-11-11,11:00,Rivne,Kyiv,5,3,45,300
46,2021-11-11,11:00,Rivne,Kyiv,5,3,46,300
47,2021-11-11,11:00,Rivne,Kyiv,5,3,47,300
48,2021-11-11,11:00,Rivne,Kyiv,5,3,48,300
49,2021-11-11,11:00,Rivne,Kyiv,5,3,49,300
50,2021-11-11,11:00,Rivne,Kyiv,5,3,50,300
51,2021-11-11,11:00,Rivne,Kyiv,5,3,51,300
52,2021-11-11,11:00,Rivne,Kyiv,5,3,52,300
53,2021-11-11,11:00,Rivne,Kyiv,5,3,53,300
54,2021-11-11,11:00,Rivne,Kyiv,5,3,54,300
55,2021-11-11,11:00,Rivne,Kyiv,5,3,55,300
56,2021-11-11,11:00,Rivne,Kyiv,5,3,56,300
57,2021-11-11,11:00,Rivne,Kyiv,5,3,57,300
58,2021-11-11,11:00,Rivne,Kyiv,5,3,58,300
59,2021-11-11,11:00,Rivne,Kyiv,5,3,59,300
60,2021-11-11,11:00,Rivne,Kyiv,5,3,60,300
61,2021-11-11,11:00,Rivne,Kyiv,5,3,61,300
62,2021-11-11,11:00,Rivne,Kyiv,5,3,62,300
63,2021-11-11,11:00,Rivne,Kyiv,5,3,63,300
64,2021-11-11,11:00,Rivne,Kyiv,5,3,64,300
65,2021-11-11,11:00,Rivne,Kyiv,5,3,65,300
